sentence_fr	sentence_de	blank_word	distractors	verb_fr	noun_fr
Je vais endosser le costume.	Ich werde den Anzug anziehen.	le	un,la,du	endosser	le costume
Je vais écraser le fruit.	Ich werde die Frucht zerdrücken.	le	un,la,de	écraser	le fruit
Elle se déguise en costume.	Sie verkleidet sich im Anzug.	en	à,le,du	déguiser	le costume
Il manipule la machine.	Er manipuliert die Maschine.	la	une,le,de	manipuler	la machine
L'objet glisse sur la table.	Der Gegenstand gleitet über den Tisch.	sur	dans,à,avec	glisser	l'objet
Les abeilles butinent le nectar.	Die Bienen sammeln den Nektar.	le	un,la,de	butiner	le nectar
Je tape le numéro.	Ich tippe die Nummer.	le	un,la,de	taper	le numéro
Le papier brûle dans le feu.	Das Papier brennt im Feuer.	dans	sur,à,avec	brûler	le papier
Il déclare la guerre.	Er erklärt den Krieg.	la	une,le,de	déclarer	la guerre
Elle assèche la plante.	Sie trocknet die Pflanze aus.	la	une,le,de	assécher	la plante
Il borne le territoire.	Er begrenzt das Gebiet.	le	un,la,de	borner	le territoire
Je vais allumer la lampe.	Ich werde die Lampe anzünden.	la	une,le,de	allumer	la lampe
Je retiens l'information.	Ich behalte die Information.	l'	la,une,de	retenir	l'information
Ils internationalisent l'entreprise.	Sie internationalisieren die Firma.	l'	une,la,de	internationaliser	l'entreprise
Nous scandons le chant.	Wir skandieren den Gesang.	le	un,la,de	scander	le chant
Ils sensibilisent le public.	Sie sensibilisieren das Publikum.	le	un,la,de	sensibiliser	le public
Il tasse la terre.	Er presst die Erde.	la	une,le,de	tasser	la terre
J'ouvre la fenêtre.	Ich öffne das Fenster.	la	une,le,de	ouvrir	la fenêtre
La tempête sévit en mer.	Der Sturm wütet auf dem Meer.	en	à,sur,avec	sévir	la tempête
Il débourse le montant.	Er gibt den Betrag aus.	le	un,la,de	débourser	le montant
Je bois le vin.	Ich trinke den Wein.	le	un,la,de	boire	le vin
Nous équilibrons le budget.	Wir gleichen das Budget aus.	le	un,la,de	équilibrer	le budget
Je cuisine l'ingrédient.	Ich koche den Bestandteil.	l'	une,la,de	cuisiner	l'ingrédient
Elle écrit la lettre.	Sie schreibt den Brief.	la	une,le,de	écrire	la lettre
Il parle la langue.	Er spricht die Sprache.	la	une,le,de	parler	la langue
Ils affranchissent le pays.	Sie befreien das Land.	le	un,la,de	affranchir	le pays
Je félicite la personne.	Ich gratuliere der Person.	la	une,le,de	féliciter	la personne
Elle décline une proposition.	Sie lehnt einen Vorschlag ab.	une	la,le,de	décliner	une proposition
Il publie l'article.	Er veröffentlicht den Artikel.	l'	une,la,de	publier	l'article
Nous reconstruisons la maison.	Wir bauen das Haus wieder auf.	la	une,le,de	reconstruire	la maison
Je vais réparer la voiture.	Ich werde das Auto reparieren.	la	une,de,du	réparer	la voiture
Il choisit le vêtement.	Er wählt das Kleidungsstück.	le	un,la,de	choisir	le vêtement
Elle facilite le travail.	Sie erleichtert die Arbeit.	le	un,la,de	faciliter	le travail
Nous rencontrons le collègue.	Wir treffen den Kollegen.	le	un,la,de	rencontrer	le collègue
Le conflit explose.	Der Konflikt explodiert.	le	un,la,de	exploser	le conflit
Je vais réparer l'appareil.	Ich werde das Gerät reparieren.	l'	une,la,de	réparer	l'appareil
Ils revendiquent le droit.	Sie beanspruchen das Recht.	le	un,la,de	revendiquer	le droit
Elle exaspère la personne.	Sie ärgert die Person.	la	une,de,du	exaspérer	la personne
Je remets le document.	Ich gebe das Dokument zurück.	le	un,la,de	remettre	le document
Ils fondent une famille.	Sie gründen eine Familie.	une	la,de,du	fonder	la famille
Il tatoue la peau.	Er tätowiert die Haut.	la	une,de,du	tatouer	la peau
Elle hoche la tête.	Sie nickt mit dem Kopf.	la	une,de,du	hocher	la tête
Il s'adonne à l'énergie.	Er widmet sich der Energie.	à	de,sur,avec	adonner	l'énergie
Nous rallumons le feu.	Wir zünden das Feuer wieder an.	le	un,la,de	rallumer	le feu
Je vends la voiture.	Ich verkaufe das Auto.	la	une,de,du	vendre	la voiture
Il colle l'étiquette.	Er klebt das Etikett.	l'	une,la,de	coller	l'étiquette
